BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
2566621,02334223',COVE HOME LLC,30-136116600,15,99030544,PRDTS OF INDIA  NTE 52,SMALL RISER,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,12000,IN,4419909100,,,,,,,OTHER WOOD TABLEWARE KITCH,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,16,99030544,PRDTS OF INDIA  NTE 52,NARROW TRAY MANGO,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,3069,IN,4419909100,,,,,,,OTHER WOOD TABLEWARE KITCH,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,17,99030544,PRDTS OF INDIA  NTE 52,ROUND TRAY MANGO,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,4316.4,IN,4419909100,,,,,,,OTHER WOOD TABLEWARE KITCH,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,25,99030544,PRDTS OF INDIA  NTE 52,LARGE RISER,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,3601.68,IN,4419909100,,,,,,,OTHER WOOD TABLEWARE KITCH,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,26,99030544,PRDTS OF INDIA  NTE 52,ROUND TRAY MANGO,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,1177.2,IN,4419909100,,,,,,,OTHER WOOD TABLEWARE KITCH,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,18,99030544,PRDTS OF INDIA  NTE 52,PEBBLED SUGAR CREAMER,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,9850.44,IN,7013999090,,,,,,,OTHER GLSWR  O/$5 EACH  OTHER,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,19,99030544,PRDTS OF INDIA  NTE 52,ARTISAN BRASS PITCHER,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,7227,IN,8306290000,,,,,,,STATUETTES ETC. OTHER  AND PTS,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,20,99030590,ARTS ALU STL COP DER ALU  DER,FORGED BRASS SPREADER KNIVES,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,6570,IN,99038202,7326901000,,,,,,ALU  STL  COP DER ALU  DER STL,TINPLATE ART. IRON/STEEL,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,21,99030590,ARTS ALU STL COP DER ALU  DER,FORGED BRASS COFFEE SCOOP,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,426.24,IN,99038202,7326901000,,,,,,ALU  STL  COP DER ALU  DER STL,TINPLATE ART. IRON/STEEL,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,22,99030544,PRDTS OF INDIA  NTE 52,APERITIF BOWL SMALL,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,1123.2,IN,6802910500,,,,,,,STONE MRBLE SLABS WRK NOT,,,,,,
