BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
2565879,02318150',DOBLA USA MFG LLC,41-218954800,1,99030301,SECTION 122 - 10% DUTY,DOBLA BELGIUM PRODUCTIONS NV/SA,6/07/2026,6/07/2026,5/12/2026,Vessel Container,29393.28,BE,1806909090,,,,,,,CHOC & OTH FD PREP  OTHER,,,,,,
2565879,02318150',DOBLA USA MFG LLC,41-218954800,2,99030301,SECTION 122 - 10% DUTY,DOBLA LOGISTICS BVBA,6/07/2026,6/07/2026,5/12/2026,Vessel Container,26411,BE,1806909090,,,,,,,CHOC & OTH FD PREP  OTHER,,,,,,
2565844,02318234',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,,PRZEDSIEBIORSTWO PRZEMYSLU ZIEMNIACZANEGO PEPEES S.A.,6/07/2026,6/07/2026,5/11/2026,Vessel Container,15079.2,PL,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2565742,02318283',FOOTING FIRST  LLC,27-059921300,1,99030301,SECTION 122 - 10% DUTY,ALTEX TEXTILRECYCLING,6/07/2026,6/15/2026,5/12/2026,Vessel Container,23512.26,DE,6310102020,,,,,,,USED/NEW RAG ET SORT MN-MD,,,,,,
2565934,02319919',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,AKV LANGHOLT AMBA,6/07/2026,6/15/2026,5/18/2026,Vessel Container,13029.5,DK,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2565944,02319935',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,AKV LANGHOLT AMBA,6/07/2026,6/15/2026,5/18/2026,Vessel Container,13029.5,DK,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2565948,02319943',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,AKV LANGHOLT AMBA,6/07/2026,6/07/2026,5/18/2026,Vessel Container,37311.75,DK,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2565910,02319232',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,SEDAMYL UK,6/07/2026,6/07/2026,5/15/2026,Vessel Container,55805.4,GB,1109001000,,,,,,,WHEAT GLUTEN USED AS ANIM.FEED,,,,,,
2565947,02319240',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,SEDAMYL UK,6/07/2026,6/07/2026,5/16/2026,Vessel Container,102526.2,GB,1109009020,,,,,,,WHEAT GLUTEN  OTHER,,,,,,
2565855,02320594',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,AKV LANGHOLT AMBA,6/07/2026,6/10/2026,5/08/2026,Vessel Container,60023.25,DK,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
